Task Name,Task ID,Task Type,Date,Value
Crictical Hit!/Miss ,733afa97-fc70-4a8b-b781-a4e3e7646ff1,habit,2020-10-07 11:12:48,-8.636359023514112
Crictical Hit!/Miss ,733afa97-fc70-4a8b-b781-a4e3e7646ff1,habit,2021-01-02 15:55:49,-20.833785480893997
Crictical Hit!/Miss ,733afa97-fc70-4a8b-b781-a4e3e7646ff1,habit,2022-01-04 13:42:39,7.284680623503654
Crictical Hit!/Miss ,733afa97-fc70-4a8b-b781-a4e3e7646ff1,habit,2023-08-16 09:26:43,1
Crictical Hit!/Miss ,733afa97-fc70-4a8b-b781-a4e3e7646ff1,habit,2023-08-17 10:29:08,4.255940168063077e-7
Crictical Hit!/Miss ,733afa97-fc70-4a8b-b781-a4e3e7646ff1,habit,2023-08-18 10:11:54,1.000000414687937
Crictical Hit!/Miss ,733afa97-fc70-4a8b-b781-a4e3e7646ff1,habit,2023-08-19 09:23:54,2.925356620216105
Crictical Hit!/Miss ,733afa97-fc70-4a8b-b781-a4e3e7646ff1,habit,2023-08-20 10:09:36,1.97470073500445
Crictical Hit!/Miss ,733afa97-fc70-4a8b-b781-a4e3e7646ff1,habit,2023-08-21 10:18:36,2.925356942834786
Crictical Hit!/Miss ,733afa97-fc70-4a8b-b781-a4e3e7646ff1,habit,2023-08-23 11:43:45,3.8531339457086196
Crictical Hit!/Miss ,733afa97-fc70-4a8b-b781-a4e3e7646ff1,habit,2023-08-24 09:36:27,4.759113384683309
Crictical Hit!/Miss ,733afa97-fc70-4a8b-b781-a4e3e7646ff1,habit,2023-08-25 10:56:59,3.8531342058050013
Crictical Hit!/Miss ,733afa97-fc70-4a8b-b781-a4e3e7646ff1,habit,2023-08-26 12:51:25,4.759113892799154
Crictical Hit!/Miss ,733afa97-fc70-4a8b-b781-a4e3e7646ff1,habit,2023-08-27 10:26:40,5.644302182588845
Crictical Hit!/Miss ,733afa97-fc70-4a8b-b781-a4e3e7646ff1,habit,2023-08-28 11:30:53,4.75912410531629
Crictical Hit!/Miss ,733afa97-fc70-4a8b-b781-a4e3e7646ff1,habit,2023-08-29 12:21:39,3.85314518124583
Crictical Hit!/Miss ,733afa97-fc70-4a8b-b781-a4e3e7646ff1,habit,2023-08-30 12:32:08,4.759124359373861
Crictical Hit!/Miss ,733afa97-fc70-4a8b-b781-a4e3e7646ff1,habit,2023-08-31 08:40:50,3.853145441341838
Crictical Hit!/Miss ,733afa97-fc70-4a8b-b781-a4e3e7646ff1,habit,2023-09-01 15:40:34,4.759124613431425
Crictical Hit!/Miss ,733afa97-fc70-4a8b-b781-a4e3e7646ff1,habit,2023-09-03 11:56:27,3.8531457014378363
Crictical Hit!/Miss ,733afa97-fc70-4a8b-b781-a4e3e7646ff1,habit,2023-09-04 13:52:34,4.75912486748898
Crictical Hit!/Miss ,733afa97-fc70-4a8b-b781-a4e3e7646ff1,habit,2023-09-06 11:18:31,5.644312908335046
Crictical Hit!/Miss ,733afa97-fc70-4a8b-b781-a4e3e7646ff1,habit,2023-09-07 07:39:55,6.5096478689331
Crictical Hit!/Miss ,733afa97-fc70-4a8b-b781-a4e3e7646ff1,habit,2023-09-08 07:32:34,5.644322237488931
Crictical Hit!/Miss ,733afa97-fc70-4a8b-b781-a4e3e7646ff1,habit,2023-09-10 12:02:43,5.644332218330321
Crictical Hit!/Miss ,733afa97-fc70-4a8b-b781-a4e3e7646ff1,habit,2023-09-11 12:31:30,4.7591548381524245
Crictical Hit!/Miss ,733afa97-fc70-4a8b-b781-a4e3e7646ff1,habit,2023-09-12 10:31:00,4.75915509220898
Crictical Hit!/Miss ,733afa97-fc70-4a8b-b781-a4e3e7646ff1,habit,2023-09-13 10:51:08,5.644342447455042
Crictical Hit!/Miss ,733afa97-fc70-4a8b-b781-a4e3e7646ff1,habit,2023-09-14 13:14:49,4.7591653046831155
Crictical Hit!/Miss ,733afa97-fc70-4a8b-b781-a4e3e7646ff1,habit,2023-09-15 09:12:43,3.8531873598379245
Crictical Hit!/Miss ,733afa97-fc70-4a8b-b781-a4e3e7646ff1,habit,2023-09-17 11:29:26,4.7591655587393245
Crictical Hit!/Miss ,733afa97-fc70-4a8b-b781-a4e3e7646ff1,habit,2023-09-18 08:59:02,5.644352676568811
Crictical Hit!/Miss ,733afa97-fc70-4a8b-b781-a4e3e7646ff1,habit,2023-09-20 09:40:22,3.8531980751250794
Crictical Hit!/Miss ,733afa97-fc70-4a8b-b781-a4e3e7646ff1,habit,2023-09-21 09:08:07,4.759176025258398
Crictical Hit!/Miss ,733afa97-fc70-4a8b-b781-a4e3e7646ff1,habit,2023-09-24 10:27:05,5.644362905671629
Crictical Hit!/Miss ,733afa97-fc70-4a8b-b781-a4e3e7646ff1,habit,2023-09-26 08:37:49,5.644372886470822
Crictical Hit!/Miss ,733afa97-fc70-4a8b-b781-a4e3e7646ff1,habit,2023-09-27 07:14:08,4.759196450152315
Crictical Hit!/Miss ,733afa97-fc70-4a8b-b781-a4e3e7646ff1,habit,2023-09-28 09:19:44,5.644382867259658
Crictical Hit!/Miss ,733afa97-fc70-4a8b-b781-a4e3e7646ff1,habit,2023-10-01 08:41:57,7.356072411574702
Crictical Hit!/Miss ,733afa97-fc70-4a8b-b781-a4e3e7646ff1,habit,2023-10-11 12:43:41,6.509724815950328
Crictical Hit!/Miss ,733afa97-fc70-4a8b-b781-a4e3e7646ff1,habit,2023-10-13 14:12:20,6.509733938160264
Crictical Hit!/Miss ,733afa97-fc70-4a8b-b781-a4e3e7646ff1,habit,2023-10-17 08:37:23,7.356089690141705
Crictical Hit!/Miss ,733afa97-fc70-4a8b-b781-a4e3e7646ff1,habit,2023-10-21 16:33:29,6.509742477552998
Crictical Hit!/Miss ,733afa97-fc70-4a8b-b781-a4e3e7646ff1,habit,2023-10-22 12:05:15,7.356098044329295
Crictical Hit!/Miss ,733afa97-fc70-4a8b-b781-a4e3e7646ff1,habit,2023-10-23 09:04:44,8.184295201122545
Crictical Hit!/Miss ,733afa97-fc70-4a8b-b781-a4e3e7646ff1,habit,2023-10-24 09:52:43,8.995100729043232
Crictical Hit!/Miss ,733afa97-fc70-4a8b-b781-a4e3e7646ff1,habit,2023-10-25 13:11:08,8.184302397064343
Crictical Hit!/Miss ,733afa97-fc70-4a8b-b781-a4e3e7646ff1,habit,2023-10-28 11:01:03,7.356113227981213
Crictical Hit!/Miss ,733afa97-fc70-4a8b-b781-a4e3e7646ff1,habit,2023-10-29 14:33:18,8.184310062531795
Crictical Hit!/Miss ,733afa97-fc70-4a8b-b781-a4e3e7646ff1,habit,2023-10-31 12:11:19,9.78924794043067
Crictical Hit!/Miss ,733afa97-fc70-4a8b-b781-a4e3e7646ff1,habit,2023-11-05 20:24:38,8.99512190520036
Crictical Hit!/Miss ,733afa97-fc70-4a8b-b781-a4e3e7646ff1,habit,2023-11-10 10:14:00,9.789254429169631
Crictical Hit!/Miss ,733afa97-fc70-4a8b-b781-a4e3e7646ff1,habit,2023-11-12 14:36:41,10.567395257693345
Crictical Hit!/Miss ,733afa97-fc70-4a8b-b781-a4e3e7646ff1,habit,2023-11-14 11:08:40,11.330167884847135
Crictical Hit!/Miss ,733afa97-fc70-4a8b-b781-a4e3e7646ff1,habit,2023-11-16 02:38:53,12.078175771888196
Crictical Hit!/Miss ,733afa97-fc70-4a8b-b781-a4e3e7646ff1,habit,2023-11-16 02:38:56,11.330173101692754
Crictical Hit!/Miss ,733afa97-fc70-4a8b-b781-a4e3e7646ff1,habit,2023-11-26 21:21:43,12.07818088873674
Crictical Hit!/Miss ,733afa97-fc70-4a8b-b781-a4e3e7646ff1,habit,2023-11-27 23:53:25,12.811987322212987
Polish those Fangs,0edab546-789a-419d-be67-05ce430cb729,daily,2020-10-06 20:08:44,27.403861586090105
Polish those Fangs,0edab546-789a-419d-be67-05ce430cb729,daily,2021-01-02 08:35:39,85.5206311619108
Polish those Fangs,0edab546-789a-419d-be67-05ce430cb729,daily,2022-01-04 00:07:26,46.90989723493614
Polish those Fangs,0edab546-789a-419d-be67-05ce430cb729,daily,2023-08-12 15:33:31,14.509778694964027
Polish those Fangs,0edab546-789a-419d-be67-05ce430cb729,daily,2023-09-01 15:41:18,27.469658036277718
Polish those Fangs,0edab546-789a-419d-be67-05ce430cb729,daily,2023-10-01 08:41:47,34.31216393129411
